"","Species","Records","Min_CH_Ha","Max_CH_Ha","Full_CH_Ha","Median_CH_Ha"
"106","Carex deweyana",1866,1025960765.35105,1232013673.66894,11168094396.8334,1116809439.68334
"107","Carex diandra",1163,1412934852.04279,1456559731.89753,14182515147.2162,1418251514.72162
"108","Carex geophila",149,136655809.124905,217159445.59985,2173129543.35057,210232695.462367
"109","Carex gynocrates",993,1410922370.42399,1413960807.48107,14139608074.8107,1413892710.3211
"110","Carex hallii",54,85002783.9264006,89080751.4294547,901635625.841922,88174704.6627891
"111","Carex leptalea",2220,1771882821.61586,2474909302.6368,24722283767.9144,2472228376.79144
"112","Carex limosa",1502,1488835974.77077,1683177115.78092,16831771157.8092,1683109209.93526
"113","Carex macloviana",371,7294899852.38383,7527761165.04496,75259930622.3987,7525982361.96694
"114","Carex misandra",244,1254261566.15241,1317207731.83158,13025716589.0469,1302566144.31848
"115","Carex norvegica",250,1511502189.59793,1557762493.73413,15577624937.3413,1557762493.73413
"116","Carex nova",184,44823302.2145506,66910154.8618308,669286754.280241,65083479.6958538
"117","Carex obtusata",561,592747044.034072,606226131.937478,6062197284.37157,606174089.248022
"118","Carex pachystachya",979,579702025.363276,597605588.837888,5825230457.50425,582372855.010385
"119","Carex parryana",117,549546126.53722,664007533.188531,6640166545.85784,662358220.091547
"120","Carex petasata",786,346485523.478691,360183688.51811,3601836885.1811,357714526.923288
"121","Carex praegracilis",1858,1248294694.95215,2017919509.66247,20179195096.6247,2017187623.19502
"122","Carex scopulorum",885,254754959.017688,272159807.41478,2721398252.49882,272103887.197835
"123","Carex stenoptila",14,3468002.56152034,11916589.9822919,132054208.30547,10888271.2101982
"124","Carex tenuiflora",654,1229606301.17854,1275986618.51981,12759866185.1981,1275976355.95002
"125","Carex utriculata",3496,1589848466.06095,1680520076.12731,16198451903.7197,1619842462.77718
"126","Carex vernacula",139,114046252.577865,114858468.279208,1148584682.79208,114856715.433271
"127","Carex vesicaria",1172,1038850478.53625,1083186959.41803,10672752148.2589,1067262816.42495
"128","Castilleja flava",359,78244798.1822701,88821835.5479339,888218355.479339,88460739.4493262
"129","Castilleja occidentalis",275,113054064.797771,141602512.83708,1416061383.57635,138001913.99689
"130","Cenchrus spinifex",290,1138487146.26861,2299822868.82778,22998228688.2778,2299322748.27082
"131","Cercocarpus montanus",2363,347050735.764384,355203693.684373,3551899081.96146,355149067.747099
"132","Chaenactis stevioides",1390,155632970.238072,162749910.132709,1627499101.32709,162636002.491764
"133","Chaetopappa ericoides",1455,264499299.563455,271161919.931221,2711619199.31221,270787360.364606
"134","Chamaesyce geyeri",64,106337137.368273,118359754.462721,1183597544.62721,118210036.314103
"135","Chamaesyce maculata",1,NA,NA,0,NA
"136","Chamaesyce parryi",112,40887217.6693739,42724117.0770149,427241899.43891,42353579.9719378
"137","Cheilanthes eatonii",374,219432856.940412,229009686.162769,2290096861.62769,228996206.605973
"138","Cheilanthes wootonii",191,73821337.2755318,84741169.5092322,847291965.168618,84675175.0743157
"139","Chenopodium atrovirens",283,230860704.981168,242981168.552522,2367052148.28188,236138025.665445
"140","Chenopodium desiccatum",133,331966712.802871,361532990.342564,3595901124.92551,357955321.859659
"141","Chenopodium salinum",43,654030538.478464,824551212.386725,8053591840.77919,805359184.077919
"142","Chenopodium simplex",566,1038597553.29833,1056330991.36553,10563309913.6553,1056271479.58637
"143","Chloris verticillata",459,428394792.542075,508484101.617618,5084841016.17618,508322404.120318
"144","Chrysosplenium tetrandrum",610,1345002927.63782,1381238339.89981,13498925728.6136,1349848051.14628
"145","Chrysothamnus greenei",1060,62390341.4846493,65099766.5481206,651138379.679022,64760865.0009253
"146","Cirsium calcareum",30,13559797.4841325,16086772.2450565,161041443.75957,15243497.0224445
"147","Cirsium ochrocentrum",408,264022494.223,280701672.035623,2807053929.69327,277808258.173568
"148","Claytonia megarhiza",191,148358578.563252,152759749.736738,1527597497.36738,152758537.999238
"149","Cleomella angustifolia",40,17866253.6857185,19813459.4693912,198134594.693912,19792208.980952
"150","Collinsia parviflora",2307,643447462.492778,687904075.154302,6832473699.89405,683247369.989405
"151","Commelina dianthifolia",724,277836639.02727,336838971.780737,3368389717.80737,336634179.575886
"152","Commelina erecta",3907,3865582208.67217,3880872472.55985,38808724725.5985,3880674126.85212
"153","Convolvulus equitans",453,220802430.956437,234031656.005792,2340319665.92979,232242275.278071
"154","Cordylanthus kingii",123,34893586.8089915,55457905.5897525,554579125.445523,53630764.8487596
"155","Coreopsis grandiflora",266,536375993.452525,555319230.782626,5544291703.82414,552583907.590895
"156","Corispermum navicula",16,1188.64620491114,1283.35278150001,12833.5278150001,1273.02129807632
"157","Crataegus saligna",62,4952009.6354064,6244693.85270711,63719524.7700923,5944773.20709956
"158","Crepis atribarba",542,188288595.892491,200084755.005112,2000847550.05112,199364303.646888
"159","Cryptantha cana",60,18188174.5374583,26636593.6121739,266454027.966656,26486544.6711193
"160","Cryptantha circumscissa",779,122479700.730701,129130787.264449,1291310072.33831,128963315.883375
"161","Cryptantha flava",169,42874459.5617884,49375427.2570282,493943748.556016,48235481.322574
"162","Cryptantha rollinsii",12,374650.295999165,974209.915626514,9771728.27896158,890017.009150563
"163","Cryptantha thyrsiflora",121,31664369.0216979,33764037.1158042,337640371.158042,33123841.3725262
"164","Cuscuta indecora",371,983723605.317823,1168952810.9111,11689528109.111,1168694741.26711
"165","Cylindropuntia whipplei",573,30654143.4679731,36922633.089383,369234039.479545,36833053.7897302
"166","Cymopterus constancei",25,10993120.5867046,12093709.7527084,121894148.254808,11578238.3119634
"167","Cymopterus purpureus",147,25675452.1038171,33408469.1160686,334084691.160686,32983787.7757658
"168","Dalea lanata",326,161228024.202472,181874408.935834,1818744089.35834,181752136.873225
"169","Danthonia californica",874,336833541.217163,347188065.070101,3471966255.26462,346302668.372615
"170","Danthonia parryi",209,70196650.5026899,77287781.5168268,772394489.802011,76521084.0304061
"171","Dasiphora fruticosa",1122,1615236187.26577,1781311516.86041,17788881880.5806,1778888188.05806
"172","Dasyochloa pulchella",989,520610127.978444,528555815.426116,5285558154.26116,528555815.426116
"173","Delphinium glaucum",685,621988491.784133,661332337.40172,6269243710.17672,626783975.495784
"174","Delphinium scaposum",319,77950258.4903033,107444847.934642,1074837993.98061,104167616.690928
"175","Deschampsia cespitosa",3693,37713494.9429869,107424308.826429,548171764.56132,54817176.456132
"176","Desmodium obtusum",90,77190414.6051752,97552441.7041096,975524417.041096,97540004.2259199
"177","Dichanthelium acuminatum",3890,2032170523.65309,2063182300.34866,20631823003.4866,2062913765.78051
"178","Dichanthelium wilcoxianum",101,78703127.4935084,102481931.648885,1024819316.48885,102332315.102604
"179","Digitaria californica",723,1746122629.70375,1774943661.66792,17749436616.6792,1774917192.86857
"180","Dimorphocarpa wislizeni",84,36464265.473501,40809887.2063893,408259406.628172,40613139.8119439
"181","Downingia laeta",73,57336557.8125768,59898808.5925676,598988194.508304,59828082.484169
"182","Draba albertina",431,323342010.295871,327920197.694636,3273883532.12945,327198642.178902
"183","Draba globosa",13,11559052.2690875,15334909.6916493,153349124.001812,15316524.1850826
"184","Draba graminea",18,77735.1385497314,127080.213413754,1270802.13413754,126785.241809756
"185","Draba grayana",42,1266857.62240248,3135241.604697,31352588.7300342,3067010.35292914
"186","Draba nemorosa",681,893448573.186757,1009652586.853,10096525871.2657,1009378352.63413
"187","Draba reptans",362,607383918.874642,628749942.641952,6287232162.59134,628258965.290893
"188","Drosera rotundifolia",2290,386940177.57768,1935528158.84534,4098949883.9997,409893843.283313
