MAJORGROUP,SELEMENTID,GNAME,SNAME,SCOMNAME,GRANK,SRANK,ENDEMIC,USESA,COSTATUS,OTHERSTATUS,CNHPSENS,AQDEP,TRACK
Natural Communities,24846,Artemisia tridentata ssp. vaseyana / Hesperostipa comata Shrubland,Artemisia tridentata ssp. vaseyana  /  Hesperostipa comata Shrubland,-,GNR,S1,N,-,-,-,N,N,Fully Tracked
Natural Communities,24540,Artemisia tridentata ssp. vaseyana / Leucopoa kingii Shrubland,Artemisia tridentata ssp. vaseyana  /  Leucopoa kingii Shrubland,Western Slope Sagebrush Shrublands,G3,S1,N,-,-,-,N,N,Fully Tracked
Natural Communities,24947,Artemisia tridentata ssp. vaseyana / Leymus cinereus Shrubland,Artemisia tridentata ssp. vaseyana  /  Leymus cinereus Shrubland,Western Slope Sagebrush Shrubland,G4?,SU,N,-,-,-,N,N,Fully Tracked
Natural Communities,24951,Artemisia tridentata ssp. vaseyana / Pascopyrum smithii Shrubland,Artemisia tridentata ssp. vaseyana  /  Pascopyrum smithii Shrubland,Sagebrush Bottomland Shrublands,G3?,S1,N,-,-,-,N,N,Fully Tracked
Natural Communities,364769,Artemisia tridentata ssp. vaseyana / Poa fendleriana Shrubland,Artemisia tridentata ssp. vaseyana  /  Poa fendleriana Shrubland,-,GNR,S4S5,N,-,-,-,N,N,Partial Tracking
Natural Communities,40669,Artemisia tridentata ssp. vaseyana / Poa secunda Shrubland,Artemisia tridentata ssp. vaseyana  /  Poa secunda Shrubland,Mountain Big Sagebrush  /  Curly Bluegrass Shrubland,G3,S1,N,-,-,-,N,N,Fully Tracked
Natural Communities,24681,Artemisia tridentata ssp. vaseyana / Pseudoroegneria spicata Shrubland,Artemisia tridentata ssp. vaseyana  /  Pseudoroegneria spicata Shrubland,Western Slope Sagebrush Shrublands,G5,S2,N,-,-,-,N,N,Fully Tracked
Natural Communities,364528,Artemisia tridentata ssp. wyomingensis - Atriplex confertifolia Shrubland,Artemisia tridentata ssp. wyomingensis  -  Atriplex confertifolia Shrubland,-,G3G5,S4,N,-,-,-,N,N,Partial Tracking
Natural Communities,24570,Artemisia tridentata ssp. wyomingensis - Purshia tridentata / Pseudoroegneria spicata Shrubland,Artemisia tridentata ssp. wyomingensis  -  Purshia tridentata  /  Pseudoroegneria spicata Shrubland,Mesic Sagebrush Shrublands,G3Q,S1,N,-,-,-,N,N,Fully Tracked
Natural Communities,24837,Artemisia tridentata ssp. wyomingensis / Achnatherum hymenoides Shrubland,Artemisia tridentata ssp. wyomingensis  /  Achnatherum hymenoides Shrubland,Xeric Sagebrush Shrublands,G5,SU,N,-,-,-,N,N,Fully Tracked
