"","Species","Records","Min_CH_Ha","Max_CH_Ha","Full_CH_Ha","Median_CH_Ha"
"91","Cirsium undulatum",1143,701976613.704976,708073387.046867,7069398128.026,706619083.106414
"92","Clematis hirsutissima",331,129843984.882028,134852601.334346,1348486355.62362,134845573.095757
"93","Clematis ligusticifolia",1368,425749520.060314,469944628.217985,4699446282.17985,469547353.965158
"94","Cleome serrulata",491,374854098.093571,419496089.577259,4201351793.98942,415437010.99714
"95","Cleomella palmeriana",37,7672851.22846052,9639239.00135303,96851230.9698303,9516049.34158339
"96","Coleogyne ramosissima",1366,45656805.5886375,57802740.8828564,578027439.075503,57787214.3577497
"97","Collomia linearis",1375,797654369.136932,855557221.950536,8505783995.64194,839489360.684246
"98","Conioselinum scopulorum",537,52592159.6342225,53566624.0780178,535665540.893846,53565414.07326
"99","Conyza canadensis",3237,4426307860.96358,7075454037.5744,70715922370.7774,7071592237.07774
"100","Cordylanthus wrightii",259,48319513.7163763,55743600.7469613,557436007.469613,55453405.4718943
"101","Corydalis aurea",1670,1376636195.80048,1432451446.93398,14320630019.9621,1422259967.97779
"102","Crataegus rivularis",191,64625760.7336751,70651659.0395005,706516590.395005,70646247.5039623
"103","Crepis acuminata",833,172933058.280231,184052325.184537,1840530945.17151,183818672.880281
"104","Crepis intermedia",269,166175570.543821,174390071.682584,1743935822.98077,173333275.393285
"105","Crepis occidentalis",627,298013501.408083,317694734.751435,3176953305.41847,316310551.346538
"106","Cryptantha bakeri",40,6279566.24012713,7898329.76286416,79369159.3139485,7547812.26685448
"107","Cryptantha flavoculata",191,56699852.1650384,68322703.9567681,683227133.994065,68162960.4710485
"108","Cryptantha gracilis",251,86702970.4821677,94309806.3731426,943098063.731426,93877497.9966168
"109","Cryptantha humilis",209,72548268.5212737,76751486.4812066,767514864.812066,76635647.3697819
"110","Cryptantha longiflora",8,NA,NA,11774847.8224018,NA
"111","Cryptantha minima",311,98405709.1525724,106768707.47709,1067687074.7709,106445089.907937
"112","Cryptantha paradoxa",17,3145764.46285008,3503133.78541506,35035903.1526275,3498050.31153176
"113","Cryptantha watsonii",228,119453013.01317,123708004.907469,1237160707.52365,122803332.116372
"114","Cymopterus bulbosus",92,27954546.1313684,36975800.8072364,369758012.39183,34610955.146503
"115","Cymopterus montanus",169,85222317.8718807,92066091.040777,920823200.035301,91750373.3638586
"116","Delphinium nuttallianum",1527,268637354.795185,293531442.993937,2935549515.75879,293251194.452121
"117","Descurainia californica",205,103088885.319123,112423525.143881,1124235251.43881,112241522.539015
"118","Descurainia incana",630,1167063589.48356,1256122751.69021,12547741651.4591,1254556999.71585
"119","Distichlis spicata",3399,4687387261.25667,4695859127.10021,46958591271.0021,4695851046.71106
"120","Draba aurea",768,1239160345.72568,1326815984.73993,13268159847.3993,1326815984.73993
"121","Draba cuneifolia",1019,303981670.138586,318067625.359736,3180676253.59736,318065359.331623
"122","Draba rectifructa",33,45169936.5105485,52474535.8365014,524851757.096901,52258219.5205657
"123","Draba spectabilis",94,12783880.1448749,13613242.5437489,136147176.933271,13459332.7145022
"124","Dracocephalum parviflorum",575,978196628.525895,1009288565.871,10010492021.0914,1001048814.08593
