"SYMBOL","SYNONYM_SYMBOL","JOIN_SYMBOL","FULL_NAME","GENUS","SPECIES","FAMILY"
"ADAL","ADPES2","ADPES2","Adiantum pedatum L. var. subpumilum W.H. Wagner","Adiantum","pedatum","Pteridaceae"
"ADCA",NA,"ADCA","Adiantum capillus-veneris L.","Adiantum","capillus","Pteridaceae"
"ADCA","ADCAM","ADCAM","Adiantum capillus-veneris L. var. modestum (Underw.) Fernald","Adiantum","capillus","Pteridaceae"
"ADCA","ADCAP","ADCAP","Adiantum capillus-veneris L. var. protrusum Fernald","Adiantum","capillus","Pteridaceae"
"ADCA","ADMO2","ADMO2","Adiantum modestum Underw.","Adiantum","modestum","Pteridaceae"
"ADIAN",NA,"ADIAN","Adiantum L.","Adiantum","L","Pteridaceae"
"ADMO",NA,"ADMO","Adoxa moschatellina L.","Adoxa","moschatellina","Adoxaceae"
"ADOXA",NA,"ADOXA","Adoxa L.","Adoxa","L","Adoxaceae"
"AECY",NA,"AECY","Aegilops cylindrica Host","Aegilops","cylindrica","Poaceae"
"AECY","AECYR","AECYR","Aegilops cylindrica Host var. rubiginosa Popova","Aegilops","cylindrica","Poaceae"
"AECY","AETA3","AETA3","Aegilops tauschii auct. non Coss.","Aegilops","tauschii","Poaceae"
"AECY","CYCY5","CYCY5","Cylindropyrum cylindricum (Host) Á. Löve","Cylindropyrum","cylindricum","Poaceae"
"AECY","TRCY3","TRCY3","Triticum cylindricum (Host) Ces., Pass. & Gibelli","Triticum","cylindricum","Poaceae"
"AEGIL",NA,"AEGIL","Aegilops L.","Aegilops","L","Poaceae"
"AGALI",NA,"AGALI","Agalinis Raf.","Agalinis","Raf","Scrophulariaceae"
"AGAST",NA,"AGAST","Agastache Clayton ex Gronov.","Agastache","Clayton","Lamiaceae"
"AGAU2",NA,"AGAU2","Agoseris aurantiaca (Hook.) Greene","Agoseris","aurantiaca","Asteraceae"
"AGAUA",NA,"AGAUA","Agoseris aurantiaca (Hook.) Greene var. aurantiaca","Agoseris","aurantiaca","Asteraceae"
"AGAUA","AGGR7","AGGR7","Agoseris graminifolia Greene","Agoseris","graminifolia","Asteraceae"
"AGAUA","AGRO2","AGRO2","Agoseris rostrata Rydb.","Agoseris","rostrata","Asteraceae"
"AGAUA","TRAU8","TRAU8","Troximon aurantiacum Hook.","Troximon","aurantiacum","Asteraceae"
"AGAUP",NA,"AGAUP","Agoseris aurantiaca (Hook.) Greene var. purpurea (A. Gray) Cronquist","Agoseris","aurantiaca","Asteraceae"
