"SYMBOL","BINOMIAL_NAT","BINOMIAL_ACKER","DURATION","NATIVITY"
"ARLUL2","Artemisia ludoviciana ssp. ludoviciana","Artemisia ludoviciana var. ludoviciana","Perennial","Native"
"ARLUM2","Artemisia ludoviciana ssp. mexicana","Artemisia ludoviciana var. mexicana","Perennial","Native"
"ARMI4","Artemisia michauxiana","Artemisia michauxiana","Perennial","Native"
"ARNO4","Artemisia nova","Artemisia nova","Perennial","Native"
"ARPA17","Artemisia parryi","Artemisia parryi","Perennial","Native"
"ARPA18","Artemisia pattersonii","Artemisia pattersonii","Perennial","Native"
"ARPE6","Artemisia pedatifida","Artemisia pedatifida","Perennial","Native"
"ARPY2","Artemisia pygmaea","Artemisia pygmaea","Perennial","Native"
"ARSC","Artemisia scopulorum","Artemisia scopulorum","Perennial","Native"
"ARTRS2","Artemisia tridentata ssp. spiciformis","Artemisia spiciformis","Perennial","Native"
"PIDE4","Picrothamnus desertorum","Artemisia spinescens","Perennial","Native"
"ARTR2","Artemisia tridentata","Artemisia tridentata","Perennial","Native"
"ARTRT","Artemisia tridentata ssp. tridentata","Artemisia tridentata var. tridentata","Perennial","Native"
"ARTRV","Artemisia tridentata ssp. vaseyana","Artemisia tridentata var. vaseyana","Perennial","Native"
"ARTRW8","Artemisia tridentata ssp. wyomingensis","Artemisia tridentata var. wyomingensis","Perennial","Native"
"ARTRT2","Artemisia tripartita ssp. tripartita","Artemisia tripartita var. tripartita","Perennial","Native"
"ASAR","Asclepias arenaria","Asclepias arenaria","Perennial","Native"
"ASASA","Asclepias asperula ssp. asperula","Asclepias asperula ssp. asperula","Perennial","Native"
"ASCRC2","Asclepias cryptoceras ssp. cryptoceras","Asclepias cryptoceras ssp. cryptoceras","Perennial","Native"
"ASEN","Asclepias engelmanniana","Asclepias engelmanniana","Perennial","Native"
"ASHA6","Asclepias hallii","Asclepias hallii","Perennial","Native"
"ASIN","Asclepias incarnata","Asclepias incarnata","Perennial","Native"
"ASIN14","Asclepias involucrata","Asclepias involucrata","Perennial","Native"
"ASLA4","Asclepias latifolia","Asclepias latifolia","Perennial","Native"
"ASIN14","Asclepias involucrata","Asclepias macrosperma","Perennial","Native"
"ASMA","Asclepias macrotis","Asclepias macrotis","Perennial","Native"
"ASOE","Asclepias oenotheroides","Asclepias oenotheroides","Perennial","Native"
"ASPU","Asclepias pumila","Asclepias pumila","Perennial","Native"
"ASRU6","Asclepias rusbyi","Asclepias rusbyi","Perennial","Native"
"ASSP","Asclepias speciosa","Asclepias speciosa","Perennial","Native"
"ASST","Asclepias stenophylla","Asclepias stenophylla","Perennial","Native"
"ASSU2","Asclepias subverticillata","Asclepias subverticillata","Perennial","Native"
"ASTUI","Asclepias tuberosa ssp. interior","Asclepias tuberosa ssp. interior","Perennial","Native"
"ASUNU2","Asclepias uncialis ssp. uncialis","Asclepias uncialis ssp. uncialis","Perennial","Native"
"ASVI","Asclepias viridiflora","Asclepias viridiflora","Perennial","Native"
"ASOF","Asparagus officinalis","Asparagus officinalis","Perennial","Introduced"
"ASPR","Asperugo procumbens","Asperugo procumbens","Annual","Introduced"
"ASAD","Asplenium adiantum-nigrum","Asplenium adiantum-nigrum","Perennial","Native"
"ASPL","Asplenium platyneuron","Asplenium platyneuron","Perennial","Native"
"ASRE","Asplenium resiliens","Asplenium resiliens","Perennial","Native"
"ASSE","Asplenium septentrionale","Asplenium septentrionale","Perennial","Native"
"ASTRT","Asplenium trichomanes ssp. trichomanes","Asplenium trichomanes ssp. trichomanes","Perennial","Native"
"ASTR10","Asplenium trichomanes-ramosum","Asplenium trichomanes-ramosum","Perennial","Native"
"ASALV","Aster alpinus var. vierhapperi","Aster alpinus var. vierhapperi","Perennial","Native"
"ASAG2","Astragalus agrestis","Astragalus agrestis","Perennial","Native"
"ASALP","Astragalus allochrous var. playanus","Astragalus allochrous var. playanus","Annual, Biennial","Native"
"ASAL7","Astragalus alpinus","Astragalus alpinus","Perennial","Native"
"ASAM3","Astragalus americanus","Astragalus americanus","Perennial","Native"
"ASAMV","Astragalus amphioxys var. vespertinus","Astragalus amphioxys var. vespertinus","Perennial, Annual","Native"
"ASAN4","Astragalus anisus","Astragalus anisus","Perennial","Native"
"ASAR3","Astragalus aretioides","Astragalus aretioides","Perennial","Native"
"ASARM","Astragalus argophyllus var. martinii","Astragalus argophyllus var. martinii","Perennial","Native"
"ASAS2","Astragalus asclepiadoides","Astragalus asclepiadoides","Perennial","Native"
"ASAU4","Astragalus australis","Astragalus australis","Perennial","Native"
"ASBI2","Astragalus bisulcatus","Astragalus bisulcatus","Perennial","Native"
"ASBIB","Astragalus bisulcatus var. bisulcatus","Astragalus bisulcatus var. bisulcatus","Perennial","Native"
"ASBIH","Astragalus bisulcatus var. haydenianus","Astragalus bisulcatus var. haydenianus","Perennial","Native"
"ASBO","Astragalus bodinii","Astragalus bodinii","Perennial","Native"
"ASBR5","Astragalus brandegeei","Astragalus brandegeei","Perennial","Native"
"ASCA9","Astragalus calycosus","Astragalus calycosus","Perennial","Native"
"ASCAC5","Astragalus calycosus var. calycosus","Astragalus calycosus var. calycosus","Perennial","Native"
"ASCAS","Astragalus calycosus var. scaposus","Astragalus calycosus var. scaposus","Perennial","Native"
"ASCA11","Astragalus canadensis","Astragalus canadensis","Perennial","Native"
"ASCAB","Astragalus canadensis var. brevidens","Astragalus canadensis var. brevidens","Perennial","Native"
"ASCAC6","Astragalus canadensis var. canadensis","Astragalus canadensis var. canadensis","Perennial","Native"
"ASCE","Astragalus ceramicus","Astragalus ceramicus","Perennial","Native"
"ASCEC","Astragalus ceramicus var. ceramicus","Astragalus ceramicus var. ceramicus","Perennial","Native"
"ASCEF","Astragalus ceramicus var. filifolius","Astragalus ceramicus var. filifolius","Perennial","Native"
"ASCE2","Astragalus cerussatus","Astragalus cerussatus","Annual, Perennial","Native"
"ASCHC2","Astragalus chamaeleuce var. chamaeleuce","Astragalus chamaeleuce var. chamaeleuce","Perennial","Native"
"ASCH7","Astragalus chloodes","Astragalus chloodes","Perennial","Native"
"ASCI2","Astragalus cibarius","Astragalus cibarius","Perennial","Native"
"ASCI4","Astragalus cicer","Astragalus cicer","Perennial","Introduced"
