"","National_USDASymbol","FQA_USDASymbol","FQA_USDASymbolOrigin","FQA_Family","FQA_SciName_withAuthority","FQA_SciName_noAuthority","FQA_Genus","FQA_Species","FQA_Trinomial","FQA_C-Value2020","FQA_C-Value2020_Numeric","FQA_NativeStatus","FQA_NameOrigin","National_SciName_noAuthority","Ack_SciName_noAuthority","USDA_Duration"
"1881","LITE4","LITE4","FQA_SciName","Saxifragaceae","Lithophragma tenellum Nutt.","Lithophragma tenellum","Lithophragma","tenellum",NA,"8",8,"Native","Ackerfield 2015","Lithophragma tenellum","Lithophragma tenellum","Perennial"
"1882","BUAR3","LIAR4","FQA_SciName","Boraginaceae","Lithospermum arvense L.","Lithospermum arvense","Lithospermum","arvense",NA,"0",0,"Non-native","Ackerfield 2015","Buglossoides arvensis","Lithospermum arvense","Annual"
"1883","LICAC9","LICAC9","FQA_SciName","Boraginaceae","Lithospermum caroliniense (Walter ex J.F. Gmel.) MacMill. var. croceum (Fernald) Cronquist","Lithospermum caroliniense var. croceum","Lithospermum","caroliniense","var. croceum","7",7,"Native","Ackerfield 2015","Lithospermum caroliniense var. croceum","Lithospermum caroliniense var. croceum","Perennial"
"1884","LIIN2","LIIN2","FQA_SciName","Boraginaceae","Lithospermum incisum Lehm.","Lithospermum incisum","Lithospermum","incisum",NA,"5",5,"Native","Ackerfield 2015","Lithospermum incisum","Lithospermum incisum","Perennial"
"1885","LIMU3","LIMU3","FQA_SciName","Boraginaceae","Lithospermum multiflorum Torr. ex A. Gray","Lithospermum multiflorum","Lithospermum","multiflorum",NA,"5",5,"Native","Ackerfield 2015","Lithospermum multiflorum","Lithospermum multiflorum","Perennial"
"1886","LIRU4","LIRU4","FQA_SciName","Boraginaceae","Lithospermum ruderale Douglas ex Lehm.","Lithospermum ruderale","Lithospermum","ruderale",NA,"4",4,"Native","Ackerfield 2015","Lithospermum ruderale","Lithospermum ruderale","Perennial"
"1887","LLSE","LLSE","FQA_SciName","Liliaceae","Lloydia serotina (L.) Salisb. ex Rchb.","Lloydia serotina","Lloydia","serotina",NA,"8",8,"Native","Ackerfield 2015","Lloydia serotina","Lloydia serotina","Perennial"
"1888","LOCA2","LOCA2","FQA_SciName","Campanulaceae","Lobelia cardinalis L.","Lobelia cardinalis","Lobelia","cardinalis",NA,"7",7,"Native","Ackerfield 2015","Lobelia cardinalis","Lobelia cardinalis","Perennial"
"1889","LOSIL","LOSIL","FQA_SciName","Campanulaceae","Lobelia siphilitica L. var. ludoviciana A. DC.","Lobelia siphilitica var. ludoviciana","Lobelia","siphilitica","var. ludoviciana","7",7,"Native","Ackerfield 2015","Lobelia siphilitica var. ludoviciana","Lobelia siphilitica var. ludoviciana","Perennial"
"1890","LOMA","LOMA","FQA_SciName","Brassicaceae","Lobularia maritima (L.) Desv.","Lobularia maritima","Lobularia","maritima",NA,"0",0,"Non-native","Ackerfield 2015","Lobularia maritima","Lobularia maritima","Annual, Perennial"
"1891","LOPEM2","LOMU","FQA_SciName","Poaceae","Lolium multiflorum Lam.","Lolium multiflorum","Lolium","multiflorum",NA,"0",0,"Non-native","Ackerfield 2015","Lolium perenne ssp. multiflorum","Lolium multiflorum","Annual, Perennial"
"1892","LOPEP","LOPE","FQA_SciName","Poaceae","Lolium perenne L.","Lolium perenne","Lolium","perenne",NA,"0",0,"Non-native","Ackerfield 2015","Lolium perenne ssp. perenne","Lolium perenne","Perennial"
