"","National_USDASymbol","FQA_USDASymbol","FQA_USDASymbolOrigin","FQA_Family","FQA_SciName_withAuthority","FQA_SciName_noAuthority","FQA_Genus","FQA_Species","FQA_Trinomial","FQA_C-Value2020","FQA_C-Value2020_Numeric","FQA_NativeStatus","FQA_NameOrigin","National_SciName_noAuthority","Ack_SciName_noAuthority","USDA_Duration"
"423","ASSC7","ASSC7","FQA_SciName","Fabaceae","Astragalus scopulorum Porter","Astragalus scopulorum","Astragalus","scopulorum",NA,"7",7,"Native","Ackerfield 2015","Astragalus scopulorum","Astragalus scopulorum","Perennial"
"424","ASSE5","ASSE5","FQA_SciName","Fabaceae","Astragalus sericoleucus A. Gray","Astragalus sericoleucus","Astragalus","sericoleucus",NA,"7",7,"Native","Ackerfield 2015","Astragalus sericoleucus","Astragalus sericoleucus","Perennial"
"425","ASSE7","ASSE7","FQA_SciName","Fabaceae","Astragalus sesquiflorus S. Watson","Astragalus sesquiflorus","Astragalus","sesquiflorus",NA,"9",9,"Native","Ackerfield 2015","Astragalus sesquiflorus","Astragalus sesquiflorus","Perennial"
"426","ASSH3","ASSH3","FQA_SciName","Fabaceae","Astragalus shortianus Nutt.","Astragalus shortianus","Astragalus","shortianus",NA,"7",7,"Native","Ackerfield 2015","Astragalus shortianus","Astragalus shortianus","Perennial"
"427","ASSP5","ASSP5","FQA_SciName","Fabaceae","Astragalus sparsiflorus A. Gray","Astragalus sparsiflorus","Astragalus","sparsiflorus",NA,"6",6,"Native","Ackerfield 2015","Astragalus sparsiflorus","Astragalus sparsiflorus","Annual, Perennial"
"428","ASSPM","ASSPM","FQA_SciName","Fabaceae","Astragalus sparsiflorus A. Gray var. majusculus","Astragalus sparsiflorus var. majusculus","Astragalus","sparsiflorus","var. majusculus","6",6,"Native","Ackerfield 2015","Astragalus sparsiflorus var. majusculus","Astragalus sparsiflorus var. majusculus","Annual, Perennial"
"429","ASSPS3","ASSPS3","FQA_SciName","Fabaceae","Astragalus sparsiflorus A. Gray var. sparsiflorus","Astragalus sparsiflorus var. sparsiflorus","Astragalus","sparsiflorus","var. sparsiflorus","6",6,"Native","Ackerfield 2015","Astragalus sparsiflorus var. sparsiflorus","Astragalus sparsiflorus var. sparsiflorus","Perennial, Annual"
"430","ASSP6","ASSP6","FQA_SciName","Fabaceae","Astragalus spatulatus Sheldon","Astragalus spatulatus","Astragalus","spatulatus",NA,"6",6,"Native","Ackerfield 2015","Astragalus spatulatus","Astragalus spatulatus","Perennial"
"431","ASTE5","ASTE5","FQA_SciName","Fabaceae","Astragalus tenellus Pursh","Astragalus tenellus","Astragalus","tenellus",NA,"6",6,"Native","Ackerfield 2015","Astragalus tenellus","Astragalus tenellus","Perennial"
"432","ASMOT","ASTH2","FQA_SciName","Fabaceae","Astragalus thompsoniae S. Watson","Astragalus thompsoniae","Astragalus","thompsoniae",NA,"5",5,"Native","Ackerfield 2015","Astragalus mollissimus var. thompsoniae","Astragalus thompsoniae","Perennial"
"433","ASTO9","ASTO9","FQA_SciName","Fabaceae","Astragalus tortipes J.L. Anderson & J.M. Porter","Astragalus tortipes","Astragalus","tortipes",NA,"10",10,"Native","Ackerfield 2015","Astragalus tortipes","Astragalus tortipes","Perennial"
"434","ASTR7","ASTR7","FQA_SciName","Fabaceae","Astragalus tridactylicus A. Gray","Astragalus tridactylicus","Astragalus","tridactylicus",NA,"7",7,"Native","Ackerfield 2015","Astragalus tridactylicus","Astragalus tridactylicus","Perennial"
"435","ASWE2","ASWE2","FQA_SciName","Fabaceae","Astragalus wetherillii M.E. Jones","Astragalus wetherillii","Astragalus","wetherillii",NA,"8",8,"Native","Ackerfield 2015","Astragalus wetherillii","Astragalus wetherillii","Perennial"
"436","ASWI2","ASWI2","FQA_SciName","Fabaceae","Astragalus wingatanus S. Watson","Astragalus wingatanus","Astragalus","wingatanus",NA,"8",8,"Native","Ackerfield 2015","Astragalus wingatanus","Astragalus wingatanus","Perennial"
"437","ASCOC3","ASCOC3","FQA_SciName","Pteridaceae","Astrolepis cochisensis (Goodding) Benham & Windham ssp. cochisensis","Astrolepis cochisensis ssp. cochisensis","Astrolepis","cochisensis","ssp. cochisensis","8",8,"Native","Ackerfield 2015","Astrolepis cochisensis ssp. cochisensis","Astrolepis cochisensis ssp. cochisensis","Perennial"
"438","ASIN19","ASIN19","FQA_SciName","Pteridaceae","Astrolepis integerrima (Hook.) Benham & Windham","Astrolepis integerrima","Astrolepis","integerrima",NA,"8",8,"Native","Ackerfield 2015","Astrolepis integerrima","Astrolepis integerrima","Perennial"
"439","ATAM","ATALA2","FQA_SciName","Dryopteridaceae","Athyrium alpestre (Hoppe) Milde var. americanum Butters","Athyrium alpestre var. americanum","Athyrium","alpestre","var. americanum","10",10,"Native","Ackerfield 2015","Athyrium americanum","Athyrium alpestre var. americanum","Perennial"
"440","ATFIC","ATFIC3","FQA_SciName","Dryopteridaceae","Athyrium filix-femina (L.) Roth var. californicum Butters","Athyrium filix-femina var. californicum","Athyrium","filix-femina","var. californicum","9",9,"Native","Ackerfield 2015","Athyrium filix-femina ssp. cyclosorum","Athyrium filix-femina var. californicum","Perennial"
"441","ATAR2","ATAR2","FQA_SciName","Chenopodiaceae","Atriplex argentea Nutt.","Atriplex argentea","Atriplex","argentea",NA,"5",5,"Native","Ackerfield 2015","Atriplex argentea","Atriplex argentea","Annual, Perennial"
"442","ATCA2","ATCA2","FQA_SciName","Chenopodiaceae","Atriplex canescens (Pursh) Nutt.","Atriplex canescens","Atriplex","canescens",NA,"7",7,"Native","Ackerfield 2015","Atriplex canescens","Atriplex canescens","Perennial"
"443","ATCO","ATCO","FQA_SciName","Chenopodiaceae","Atriplex confertifolia (Torr. & Frém.) S. Watson","Atriplex confertifolia","Atriplex","confertifolia",NA,"6",6,"Native","Ackerfield 2015","Atriplex confertifolia","Atriplex confertifolia","Perennial"
"444","ATCO4","ATCO4","FQA_SciName","Chenopodiaceae","Atriplex corrugata S. Watson","Atriplex corrugata","Atriplex","corrugata",NA,"8",8,"Native","Ackerfield 2015","Atriplex corrugata","Atriplex corrugata","Perennial"
"445","ATGA","ATGA","FQA_SciName","Chenopodiaceae","Atriplex gardneri (Moq.) D. Dietr.","Atriplex gardneri","Atriplex","gardneri",NA,"6",6,"Native","Ackerfield 2015","Atriplex gardneri","Atriplex gardneri","Perennial"
"446","ATGR","ATGR","FQA_SciName","Chenopodiaceae","Atriplex graciliflora M.E. Jones","Atriplex graciliflora","Atriplex","graciliflora",NA,"Not Assigned",NA,"Native","Ackerfield 2015","Atriplex graciliflora","Atriplex graciliflora","Perennial"
"447","ATMI2","ATHE","FQA_SciName","Chenopodiaceae","Atriplex heterosperma Bunge","Atriplex heterosperma","Atriplex","heterosperma",NA,"0",0,"Non-native","Ackerfield 2015","Atriplex micrantha","Atriplex heterosperma","Annual"
"448","ATHO","ATHO","FQA_SciName","Chenopodiaceae","Atriplex hortensis L.","Atriplex hortensis","Atriplex","hortensis",NA,"0",0,"Non-native","Ackerfield 2015","Atriplex hortensis","Atriplex hortensis","Annual"
"449","ATOB","ATOB","FQA_SciName","Chenopodiaceae","Atriplex obovata Moq.","Atriplex obovata","Atriplex","obovata",NA,"5",5,"Native","Ackerfield 2015","Atriplex obovata","Atriplex obovata","Perennial"
"450","ATPA4","ATPA4","FQA_SciName","Chenopodiaceae","Atriplex patula L.","Atriplex patula","Atriplex","patula",NA,"0",0,"Non-native","Ackerfield 2015","Atriplex patula","Atriplex patula","Annual"
"451","PRPL2","ATPL2","FQA_SciName","Chenopodiaceae","Atriplex pleiantha W.A. Weber","Atriplex pleiantha","Atriplex","pleiantha",NA,"8",8,"Native","Ackerfield 2015","Proatriplex pleiantha","Atriplex pleiantha","Annual"
"452","ATPO2","ATPO2","FQA_SciName","Chenopodiaceae","Atriplex powellii S. Watson","Atriplex powellii","Atriplex","powellii",NA,"7",7,"Native","Ackerfield 2015","Atriplex powellii","Atriplex powellii","Annual"
"453","ATRO","ATRO","FQA_SciName","Chenopodiaceae","Atriplex rosea L.","Atriplex rosea","Atriplex","rosea",NA,"0",0,"Non-native","Ackerfield 2015","Atriplex rosea","Atriplex rosea","Annual"
"454","ATSA","ATSA","FQA_SciName","Chenopodiaceae","Atriplex saccaria S. Watson","Atriplex saccaria","Atriplex","saccaria",NA,"5",5,"Native","Ackerfield 2015","Atriplex saccaria","Atriplex saccaria","Annual"
"455","ATSU2","ATSU2","FQA_SciName","Chenopodiaceae","Atriplex subspicata (Nutt.) Rydb.","Atriplex subspicata","Atriplex","subspicata",NA,"5",5,"Native","Ackerfield 2015","Atriplex subspicata","Atriplex subspicata","Annual"
"456","ENDI","ATSU","FQA_SciName","Chenopodiaceae","Atriplex suckleyi (Torr.) Rydb.","Atriplex suckleyi","Atriplex","suckleyi",NA,"3",3,"Native","Ackerfield 2015","Endolepis dioica","Atriplex suckleyi","Annual"
"457","ATTR","ATTR","FQA_SciName","Chenopodiaceae","Atriplex truncata (Torr. ex S. Watson) A. Gray","Atriplex truncata","Atriplex","truncata",NA,"5",5,"Native","Ackerfield 2015","Atriplex truncata","Atriplex truncata","Annual"
"458","ATWO","ATWO","FQA_SciName","Chenopodiaceae","Atriplex wolfii S. Watson","Atriplex wolfii","Atriplex","wolfii",NA,"5",5,"Native","Ackerfield 2015","Atriplex wolfii","Atriplex wolfii","Annual"
"459","ATTE","ATWOT","FQA_SciName","Chenopodiaceae","Atriplex wolfii S. Watson var. tenuissima (A. Nelson) S.L. Welsh","Atriplex wolfii var. tenuissima","Atriplex","wolfii","var. tenuissima","5",5,"Native","Ackerfield 2015","Atriplex tenuissima","Atriplex wolfii var. tenuissima","Annual"
"460","ATWO","ZZ_ATWOW50","FQA_SciName InventedSymbol","Chenopodiaceae","Atriplex wolfii S. Watson var. wolfii","Atriplex wolfii var. wolfii","Atriplex","wolfii","var. wolfii","5",5,"Native","Ackerfield 2015","Atriplex wolfii","Atriplex wolfii var. wolfii","Annual"
"461","AUSA","AUSA","FQA_SciName","Brassicaceae","Aurinia saxatilis (L.) Desv.","Aurinia saxatilis","Aurinia","saxatilis",NA,"0",0,"Non-native","USDA PLANTS","Aurinia saxatilis",NA,"Perennial"
"462","AVFA","AVFA","FQA_SciName","Poaceae","Avena fatua L.","Avena fatua","Avena","fatua",NA,"0",0,"Non-native","Ackerfield 2015","Avena fatua","Avena fatua","Annual"
"463","AVSA","AVSA","FQA_SciName","Poaceae","Avena sativa L.","Avena sativa","Avena","sativa",NA,"0",0,"Non-native","Ackerfield 2015","Avena sativa","Avena sativa","Annual"
"464","AVHO3","AVHO3","FQA_SciName","Poaceae","Avenula hookeri (Scribn.) Holub","Avenula hookeri","Avenula","hookeri",NA,"5",5,"Native","Ackerfield 2015","Avenula hookeri","Avenula hookeri","Perennial"
"465","AXAM","AXAM","FQA_SciName","Chenopodiaceae","Axyris amaranthoides L.","Axyris amaranthoides","Axyris","amaranthoides",NA,"0",0,"Non-native","Ackerfield 2015","Axyris amaranthoides","Axyris amaranthoides","Annual"
"466","AZME","AZME","FQA_SciName","Azollaceae","Azolla mexicana Schltdl. & Cham. ex C. Presl","Azolla mexicana","Azolla","mexicana",NA,"6",6,"Native","Ackerfield 2015","Azolla mexicana","Azolla mexicana","Annual, perennial"
"467","BASA","BASA","FQA_SciName","Asteraceae","Baccharis salicina Torr. & A. Gray","Baccharis salicina","Baccharis","salicina",NA,"7",7,"Native","Ackerfield 2015","Baccharis salicina","Baccharis salicina","Perennial"
"468","BAWR","BAWR","FQA_SciName","Asteraceae","Baccharis wrightii A. Gray","Baccharis wrightii","Baccharis","wrightii",NA,"8",8,"Native","Ackerfield 2015","Baccharis wrightii","Baccharis wrightii","Perennial"
"469","BARO","BARO","FQA_SciName","Plantaginaceae","Bacopa rotundifolia (Michx.) Wettst.","Bacopa rotundifolia","Bacopa","rotundifolia",NA,"Not Assigned",NA,"Native","Ackerfield 2015","Bacopa rotundifolia","Bacopa rotundifolia","Perennial"
"470","BADI","BADI","FQA_SciName","Asteraceae","Bahia dissecta (A. Gray) Britton","Bahia dissecta","Bahia","dissecta",NA,"5",5,"Native","Ackerfield 2015","Bahia dissecta","Bahia dissecta","Annual, Perennial, Biennial"
"471","BAHOH2","BAHI2","FQA_SciName","Asteraceae","Balsamorhiza hispidula Sharp","Balsamorhiza hispidula","Balsamorhiza","hispidula",NA,"5",5,"Native","Ackerfield 2015","Balsamorhiza hookeri var. hispidula","Balsamorhiza hispidula","Perennial"
"472","BASA3","BASA3","FQA_SciName","Asteraceae","Balsamorhiza sagittata (Pursh) Nutt.","Balsamorhiza sagittata","Balsamorhiza","sagittata",NA,"5",5,"Native","Ackerfield 2015","Balsamorhiza sagittata","Balsamorhiza sagittata","Perennial"
"473","BAOR","BAOR","FQA_SciName","Brassicaceae","Barbarea orthoceras Ledeb.","Barbarea orthoceras","Barbarea","orthoceras",NA,"5",5,"Native","Ackerfield 2015","Barbarea orthoceras","Barbarea orthoceras","Biennial, Perennial"
"474","BAVU","BAVU","FQA_SciName","Brassicaceae","Barbarea vulgaris W.T. Aiton","Barbarea vulgaris","Barbarea","vulgaris",NA,"0",0,"Non-native","Ackerfield 2015","Barbarea vulgaris","Barbarea vulgaris","Biennial"
"475","BAHY","BAHY","FQA_SciName","Chenopodiaceae","Bassia hyssopifolia (Pall.) Kuntz","Bassia hyssopifolia","Bassia","hyssopifolia",NA,"0",0,"Non-native","Ackerfield 2015","Bassia hyssopifolia","Bassia hyssopifolia","Annual"
"476","BESY","BESY","FQA_SciName","Poaceae","Beckmannia syzigachne (Steud.) Fernald","Beckmannia syzigachne","Beckmannia","syzigachne",NA,"4",4,"Native","Ackerfield 2015","Beckmannia syzigachne","Beckmannia syzigachne","Annual"
"477","BEFE","BEFE","FQA_SciName","Berberidaceae","Berberis fendleri A. Gray","Berberis fendleri","Berberis","fendleri",NA,"5",5,"Native","Ackerfield 2015","Berberis fendleri","Berberis fendleri","Perennial"
"478","MAFR3","BEFR","FQA_SciName","Berberidaceae","Berberis fremontii Torr.","Berberis fremontii","Berberis","fremontii",NA,"6",6,"Native","Ackerfield 2015","Mahonia fremontii","Berberis fremontii","Perennial"
"479","MAHA4","BEHA","FQA_SciName","Berberidaceae","Berberis haematocarpa Wooton","Berberis haematocarpa","Berberis","haematocarpa",NA,"5",5,"Native","Ackerfield 2015","Mahonia haematocarpa","Berberis haematocarpa","Perennial"
"480","MARE11","BERE","FQA_SciName","Berberidaceae","Berberis repens Lindl.","Berberis repens","Berberis","repens",NA,"5",5,"Native","Ackerfield 2015","Mahonia repens","Berberis repens","Perennial"
"481","BEVU","BEVU","FQA_SciName","Berberidaceae","Berberis vulgaris L.","Berberis vulgaris","Berberis","vulgaris",NA,"0",0,"Non-native","Ackerfield 2015","Berberis vulgaris","Berberis vulgaris","Perennial"
"482","BETE","BETE","FQA_SciName","Elatinaceae","Bergia texana (Hook.) Seub. ex Walp.","Bergia texana","Bergia","texana",NA,"7",7,"Native","Ackerfield 2015","Bergia texana","Bergia texana","Annual, Perennial"
"483","BELY","BELY","FQA_SciName","Asteraceae","Berlandiera lyrata Benth.","Berlandiera lyrata","Berlandiera","lyrata",NA,"9",9,"Native","Ackerfield 2015","Berlandiera lyrata","Berlandiera lyrata","Perennial"
"484","BEIN2","BEIN2","FQA_SciName","Brassicaceae","Berteroa incana (L.) DC.","Berteroa incana","Berteroa","incana",NA,"0",0,"Non-native","Ackerfield 2015","Berteroa incana","Berteroa incana","Annual, Biennial, Perennial"
"485","BEER","BEER","FQA_SciName","Apiaceae","Berula erecta (Huds.) Coville","Berula erecta","Berula","erecta",NA,"5",5,"Native","Ackerfield 2015","Berula erecta","Berula erecta","Perennial"
"486","BEAL","BEAL","FQA_SciName","Plantaginaceae","Besseya alpina (A. Gray) Rydb.","Besseya alpina","Besseya","alpina",NA,"9",9,"Native","Ackerfield 2015","Besseya alpina","Besseya alpina","Perennial"
"487","BEPL","BEPL","FQA_SciName","Plantaginaceae","Besseya plantaginea (James) Rydb.","Besseya plantaginea","Besseya","plantaginea",NA,"8",8,"Native","Ackerfield 2015","Besseya plantaginea","Besseya plantaginea","Perennial"
"488","BERI","BERI","FQA_SciName","Plantaginaceae","Besseya ritteriana (Eastw.) Rydb.","Besseya ritteriana","Besseya","ritteriana",NA,"7",7,"Native","Ackerfield 2015","Besseya ritteriana","Besseya ritteriana","Perennial"
"489","BEWY","BEWY","FQA_SciName","Plantaginaceae","Besseya wyomingensis (A. Nelson) Rydb.","Besseya wyomingensis","Besseya","wyomingensis",NA,"6",6,"Native","Ackerfield 2015","Besseya wyomingensis","Besseya wyomingensis","Perennial"
"490","BEGL","BEGL","FQA_SciName","Betulaceae","Betula glandulosa Michx.","Betula glandulosa","Betula","glandulosa",NA,"9",9,"Native","Ackerfield 2015","Betula glandulosa","Betula glandulosa","Perennial"
"491","BEOC2","BEOC2","FQA_SciName","Betulaceae","Betula occidentalis Hook.","Betula occidentalis","Betula","occidentalis",NA,"8",8,"Native","Ackerfield 2015","Betula occidentalis","Betula occidentalis","Perennial"
"492","BEPAP","BEPAP","FQA_SciName","Betulaceae","Betula papyrifera Marshall var. papyrifera","Betula papyrifera var. papyrifera","Betula","papyrifera","var. papyrifera","8",8,"Native","Ackerfield 2015","Betula papyrifera var. papyrifera","Betula papyrifera var. papyrifera","Perennial"
"493","BEPE3","BEPE3","FQA_SciName","Betulaceae","Betula pendula Roth","Betula pendula","Betula","pendula",NA,"0",0,"Non-native","Ackerfield 2015","Betula pendula","Betula pendula","Perennial"
"494","BIBI","BIBI","FQA_SciName","Asteraceae","Bidens bigelovii A. Gray","Bidens bigelovii","Bidens","bigelovii",NA,"7",7,"Native","Ackerfield 2015","Bidens bigelovii","Bidens bigelovii","Annual"
"495","BICE","BICE","FQA_SciName","Asteraceae","Bidens cernua L.","Bidens cernua","Bidens","cernua",NA,"5",5,"Native","Ackerfield 2015","Bidens cernua","Bidens cernua","Annual"
"496","BIFR","BIFR","FQA_SciName","Asteraceae","Bidens frondosa L.","Bidens frondosa","Bidens","frondosa",NA,"3",3,"Native","Ackerfield 2015","Bidens frondosa","Bidens frondosa","Annual"
"497","BITE","BITE","FQA_SciName","Asteraceae","Bidens tenuisecta A. Gray","Bidens tenuisecta","Bidens","tenuisecta",NA,"4",4,"Native","Ackerfield 2015","Bidens tenuisecta","Bidens tenuisecta","Annual"
"498","BITR","BITR","FQA_SciName","Asteraceae","Bidens tripartita L.","Bidens tripartita","Bidens","tripartita",NA,"3",3,"Native","Ackerfield 2015","Bidens tripartita","Bidens tripartita","Annual"
"499","BIVU","BIVU","FQA_SciName","Asteraceae","Bidens vulgata Greene","Bidens vulgata","Bidens","vulgata",NA,"3",3,"Native","Ackerfield 2015","Bidens vulgata","Bidens vulgata","Annual"
"500","POBI6","BIBI5","FQA_SciName","Polygonaceae","Bistorta bistortoides (Pursh) Small","Bistorta bistortoides","Bistorta","bistortoides",NA,"7",7,"Native","Ackerfield 2015","Polygonum bistortoides","Bistorta bistortoides","Perennial"
"501","POVI3","BIVI2","FQA_SciName","Polygonaceae","Bistorta vivipara (L.) Gray","Bistorta vivipara","Bistorta","vivipara",NA,"8",8,"Native","Ackerfield 2015","Polygonum viviparum","Bistorta vivipara","Perennial"
"502","ARHOR","ARCO25","FQA_SciNameSynonym","Brassicaceae","Boechera consanguinea (Greene) Windham & Al-Shehbaz","Boechera consanguinea","Boechera","consanguinea",NA,"8",8,"Native","Ackerfield 2015","Arabis holboellii var. retrofracta","Boechera consanguinea","Biennial, Perennial"
